Operador;Tipo Pausa;Fecha inicio;Fecha_fin
npardi;administrativo;2022-12-22 13:37:16;2022-12-22 13:38:36
CFERREYRA;administrativo;2022-12-22 13:38:07;2022-12-22 13:38:39
CFERREYRA;administrativo;2022-12-22 13:39:32;2022-12-22 13:45:23
erikag;descanso;2022-12-22 13:45:21;2022-12-22 14:00:59
mrybak;descanso;2022-12-22 13:45:42;2022-12-22 13:59:01
CFERREYRA;administrativo;2022-12-22 13:45:50;2022-12-22 13:46:45
NCORONEL;administrativo;2022-12-22 13:46:25;2022-12-22 13:52:58
ndelaoliva;administrativo;2022-12-22 13:57:25;2022-12-22 14:04:28
MDELRIO;baño;2022-12-22 13:57:33;2022-12-22 14:00:40
MERASO;administrativo;2022-12-22 13:58:13;2022-12-22 14:20:05
CFERREYRA;administrativo;2022-12-22 14:00:25;2022-12-22 14:00:54
CSUAREZ;administrativo;2022-12-22 14:01:09;2022-12-22 14:02:06
CMONTENEGRO;administrativo;2022-12-22 14:03:08;2022-12-22 14:09:16
ndelaoliva;administrativo;2022-12-22 14:04:46;2022-12-22 14:06:08
NCORONEL;administrativo;2022-12-22 14:08:33;2022-12-22 14:10:07
CFERREYRA;administrativo;2022-12-22 14:08:44;2022-12-22 14:10:11
CSUAREZ;administrativo;2022-12-22 14:09:04;2022-12-22 14:11:38
CCACERES;administrativo;2022-12-22 14:09:23;2022-12-22 14:10:32
CFERREYRA;administrativo;2022-12-22 14:10:41;2022-12-22 14:13:54
LRIOS;administrativo;2022-12-22 14:14:10;2022-12-22 14:21:12
CFERREYRA;administrativo;2022-12-22 14:14:22;2022-12-22 14:15:19
CFERREYRA;administrativo;2022-12-22 14:21:09;2022-12-22 14:21:29
CFERREYRA;administrativo;2022-12-22 14:25:40;2022-12-22 14:26:31
lcastresana;administrativo;2022-12-22 14:34:19;2022-12-22 14:35:17
VVILLARROEL;administrativo;2022-12-22 14:35:01;2022-12-22 14:35:32
LCANO;administrativo;2022-12-22 14:35:03;2022-12-22 14:35:46
AECKERDT;administrativo;2022-12-22 14:37:29;2022-12-22 14:43:14
fberger;administrativo;2022-12-22 14:37:32;2022-12-22 14:43:08
ZDOMIC;administrativo;2022-12-22 14:37:46;2022-12-22 14:43:05
LCANO;administrativo;2022-12-22 14:40:25;2022-12-22 14:44:23
CMORALES;administrativo;2022-12-22 14:41:16;2022-12-22 14:44:54
VVILLARROEL;administrativo;2022-12-22 14:45:40;2022-12-22 14:47:43
LCANO;administrativo;2022-12-22 14:50:32;2022-12-22 14:55:31
lcastresana;administrativo;2022-12-22 15:03:30;2022-12-22 15:06:22
FGARNICA;administrativo;2022-12-22 15:12:43;2022-12-22 15:13:11
VVILLARROEL;administrativo;2022-12-22 15:12:46;2022-12-22 15:17:33
LCANO;administrativo;2022-12-22 15:20:09;2022-12-22 15:21:11
ALANIERI;administrativo;2022-12-22 15:34:55;2022-12-22 16:22:50
lcastresana;administrativo;2022-12-22 15:36:24;2022-12-22 15:37:33
NSOLIS;administrativo;2022-12-22 15:39:50;2022-12-22 15:44:01
lcastresana;administrativo;2022-12-22 15:42:54;2022-12-22 15:49:41
LCANO;administrativo;2022-12-22 15:48:44;2022-12-22 15:49:47
LCANO;administrativo;2022-12-22 15:55:17;2022-12-22 15:56:55
lcastresana;administrativo;2022-12-22 15:57:42;2022-12-22 15:58:37
LCANO;administrativo;2022-12-22 15:58:50;2022-12-22 15:59:00
lcastresana;administrativo;2022-12-22 16:00:25;2022-12-22 16:01:45
lcastresana;administrativo;2022-12-22 16:06:21;2022-12-22 16:08:06
CFILGUEIRA;administrativo;2022-12-22 16:12:37;2022-12-22 16:21:54
fgarnica;administrativo;2022-12-22 16:12:46;2022-12-22 16:14:58
VVILLARROEL;administrativo;2022-12-22 16:13:02;2022-12-22 16:13:54
smilagro;administrativo;2022-12-22 16:13:13;2022-12-22 16:16:47
lcastresana;administrativo;2022-12-22 16:13:52;2022-12-22 16:15:39
VVILLARROEL;administrativo;2022-12-22 16:14:16;2022-12-22 16:15:27
VVILLARROEL;administrativo;2022-12-22 16:15:30;2022-12-22 16:16:09
lcastresana;administrativo;2022-12-22 16:16:42;2022-12-22 16:17:48
VVILLARROEL;administrativo;2022-12-22 16:19:23;2022-12-22 16:20:51
lcastresana;administrativo;2022-12-22 16:21:05;2022-12-22 16:21:30
fgarnica;administrativo;2022-12-22 16:21:28;2022-12-22 16:27:41
VVILLARROEL;administrativo;2022-12-22 16:22:29;2022-12-22 16:22:47
LCANO;administrativo;2022-12-22 16:25:48;2022-12-22 16:30:22
